fecha,precio_interno_carga,precio_almendra_sana,incentivo_calidad
2021-12-10,2061000,,
2021-12-11,2061000,,
2021-12-12,2061000,,
2021-12-13,2090000,,
2021-12-14,2155000,,
2021-12-15,2153000,,
2021-12-16,2160000,,
2021-12-17,2118000,,
2021-12-18,2118000,,
2021-12-19,2118000,,
2021-12-20,2048000,,
2021-12-21,2080000,,
2021-12-22,2122000,,
2021-12-23,2103000,,
2021-12-24,2098000,,
2021-12-25,2098000,,
2021-12-26,2098000,,
2021-12-27,2069000,,
2021-12-28,2061000,,
2021-12-29,2104000,,
2021-12-30,2120000,,
2021-12-31,2097000,,
2022-01-01,2097000,,
2022-01-02,2097000,,
2022-01-03,2074000,,
2022-01-04,2149000,,
2022-01-05,2120000,,
2022-01-06,2125000,,
2022-01-07,2189000,,
2022-01-08,2189000,,
2022-01-09,2189000,,
2022-01-10,2160000,,
2022-01-11,2147000,,
2022-01-12,2170000,,
2022-01-13,2135000,,
2022-01-14,2180000,,
2022-01-15,2180000,,
2022-01-16,2180000,,
2022-01-17,2180000,,
2022-01-18,2196000,,
2022-01-19,2215000,,
2022-01-20,2198000,,
2022-01-21,2142000,,
2022-01-22,2142000,,
2022-01-23,2142000,,
2022-01-24,2113000,,
2022-01-25,2149000,,
2022-01-26,2139000,,
2022-01-27,2105000,,
2022-01-28,2135000,,
2022-01-29,2135000,,
2022-01-30,2135000,,
2022-01-31,2123000,,
2022-02-01,2125000,,
2022-02-02,2150000,,
2022-02-03,2203000,,
2022-02-04,2185000,,
2022-02-05,2185000,,
2022-02-06,2185000,,
2022-02-07,2192000,,
2022-02-08,2240000,,
2022-02-09,2307000,,
2022-02-10,2275000,,
2022-02-11,2255000,,
2022-02-12,2255000,,
2022-02-13,2255000,,
2022-02-14,2233000,,
2022-02-15,2272000,,
2022-02-16,2290000,,
2022-02-17,2260000,,
2022-02-18,2222000,,
2022-02-19,2222000,,
2022-02-20,2222000,,
2022-02-21,2222000,,
2022-02-22,2232000,,
2022-02-23,2228000,,
2022-02-24,2160000,,
2022-02-25,2160000,,
2022-02-26,2160000,,
2022-02-27,2160000,,
2022-02-28,2127000,,
2022-03-01,2125000,,
2022-03-02,2049000,,
2022-03-03,1960000,,
2022-03-04,2008000,,
2022-03-05,2008000,,
2022-03-06,2008000,,
2022-03-07,1998000,,
2022-03-08,2045000,,
2022-03-09,2003000,,
2022-03-10,2005000,,
2022-03-11,1990000,,
2022-03-12,1990000,,
2022-03-13,1990000,,
2022-03-14,1954000,,
2022-03-15,1912000,,
2022-03-16,1965000,,
2022-03-17,1950000,,
2022-03-18,1978000,,
2022-03-19,1978000,,
2022-03-20,1978000,,
2022-03-21,2014000,,
2022-03-22,1987000,,
2022-03-23,2001000,,
2022-03-24,1980000,,
2022-03-25,1984000,,
2022-03-26,1984000,,
2022-03-27,1984000,,
2022-03-28,1925000,,
2022-03-29,1920000,,
2022-03-30,1967000,,
2022-03-31,2012000,,
2022-04-01,2015000,,
2022-04-02,2015000,,
2022-04-03,2015000,,
2022-04-04,2007000,,
2022-04-05,2032000,,
2022-04-06,2010000,,
2022-04-07,2008000,,
2022-04-08,2044000,,
2022-04-09,2044000,,
2022-04-10,2044000,,
2022-04-11,2072000,,
2022-04-12,2060000,,
2022-04-13,1978000,,
2022-04-14,1968000,,
2022-04-15,1968000,,
2022-04-16,1968000,,
2022-04-17,1968000,,
2022-04-18,1974000,,
2022-04-19,1970000,,
2022-04-20,1958000,,
2022-04-21,2033000,,
2022-04-22,2070000,,
2022-04-23,2070000,,
2022-04-24,2070000,,
2022-04-25,2060000,,
2022-04-26,2070000,,
2022-04-27,2030000,,
2022-04-28,2063000,,
2022-04-29,2090000,,
2022-04-30,2090000,,
2022-05-01,2090000,,
2022-05-02,2070000,,
2022-05-03,2098000,,
2022-05-04,2142000,,
2022-05-05,2121000,,
2022-05-06,2050000,,
2022-05-07,2050000,,
2022-05-08,2050000,,
2022-05-09,2030000,,
2022-05-10,2005000,,
2022-05-11,2143000,,
2022-05-12,2118000,,
2022-05-13,2107000,,
2022-05-14,2107000,,
2022-05-15,2107000,,
2022-05-16,2170000,,
2022-05-17,2179000,,
2022-05-18,2125000,,
2022-05-19,2125000,,
2022-05-20,2060000,,
2022-05-21,2060000,,
2022-05-22,2060000,,
2022-05-23,2065000,,
2022-05-24,2047000,,
2022-05-25,2055000,,
2022-05-26,2123000,,
2022-05-27,2155000,,
2022-05-28,2155000,,
2022-05-29,2155000,,
2022-05-30,2155000,,
2022-05-31,2080000,,
2022-06-01,2161000,,
2022-06-02,2135000,,
2022-06-03,2110000,,
2022-06-04,2110000,,
2022-06-05,2110000,,
2022-06-06,2150000,,
2022-06-07,2105000,,
2022-06-08,2114000,,
2022-06-09,2162000,,
2022-06-10,2165000,,
2022-06-11,2165000,,
2022-06-12,2165000,,
2022-06-13,2136000,,
2022-06-14,2165000,,
2022-06-15,2140000,,
2022-06-16,2167000,,
2022-06-17,2135000,,
2022-06-18,2135000,,
2022-06-19,2135000,,
2022-06-20,2135000,,
2022-06-21,2240000,,
2022-06-22,2273000,,
2022-06-23,2256000,,
2022-06-24,2228000,,
2022-06-25,2228000,,
2022-06-26,2228000,,
2022-06-27,2215000,,
2022-06-28,2155000,,
2022-06-29,2255000,,
2022-06-30,2289000,,
2022-07-01,2270000,,
2022-07-02,2270000,,
2022-07-03,2270000,,
2022-07-04,2270000,,
2022-07-05,2280000,,
2022-07-06,2302000,,
2022-07-07,2320000,,
2022-07-08,2348000,,
2022-07-09,2348000,,
